id,state_id,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv.1,25+_some_college/associate,25+_bachelor's.1,25+>bachelor.1
24,24,2011,313863.0,0.191,0.299,0.45,0.06,1912708.0,0.066,0.123,0.302,0.227,0.083,0.126,0.073,377837.0,0.837,0.206,382042.0,0.847,0.222,765806.0,0.827,0.203,387023.0,0.721,0.16,28901.0,17724.0,24060.0,28421.0,39605.0,50325.0
25,25,2011,588439.0,0.152,0.294,0.463,0.091,4008554.0,0.039,0.085,0.314,0.229,0.071,0.164,0.097,785188.0,0.904,0.312,739399.0,0.895,0.3,1629363.0,0.895,0.26,854604.0,0.797,0.182,31744.0,18165.0,25921.0,30564.0,42271.0,54139.0
26,26,2011,98335.0,0.123,0.34,0.446,0.091,676793.0,0.02,0.057,0.305,0.251,0.084,0.196,0.086,125005.0,0.936,0.31,110809.0,0.96,0.338,290003.0,0.933,0.273,150976.0,0.864,0.235,28035.0,17381.0,22139.0,26967.0,35675.0,48937.0
27,27,2011,185903.0,0.126,0.258,0.52,0.096,1196112.0,0.039,0.051,0.29,0.244,0.096,0.189,0.091,245845.0,0.908,0.32,220770.0,0.909,0.337,479700.0,0.932,0.281,249797.0,0.87,0.185,32247.0,21291.0,26501.0,31157.0,41573.0,55169.0
28,28,2011,249259.0,0.211,0.326,0.411,0.052,1810960.0,0.064,0.096,0.292,0.252,0.072,0.149,0.076,386245.0,0.829,0.204,382434.0,0.822,0.217,702641.0,0.86,0.239,339640.0,0.83,0.229,31825.0,22536.0,27280.0,32693.0,44825.0,61646.0
29,29,2011,124318.0,0.11,0.309,0.475,0.105,914207.0,0.028,0.058,0.293,0.192,0.095,0.21,0.124,146192.0,0.924,0.373,174290.0,0.935,0.366,409135.0,0.937,0.342,184590.0,0.834,0.256,40012.0,22791.0,32070.0,35719.0,50739.0,64565.0
30,30,2011,774117.0,0.13,0.289,0.453,0.129,6004613.0,0.056,0.063,0.294,0.173,0.061,0.22,0.133,1122087.0,0.912,0.402,1217006.0,0.9,0.406,2458742.0,0.902,0.362,1206778.0,0.791,0.235,44110.0,21130.0,31475.0,40421.0,60107.0,80822.0
31,31,2011,210285.0,0.215,0.275,0.46,0.05,1354186.0,0.073,0.096,0.266,0.236,0.075,0.144,0.111,274404.0,0.841,0.21,245291.0,0.838,0.254,551434.0,0.857,0.28,283057.0,0.768,0.254,29842.0,18307.0,23604.0,27710.0,41808.0,53957.0
32,32,2011,1987871.0,0.148,0.256,0.458,0.139,13197704.0,0.068,0.081,0.275,0.163,0.083,0.187,0.142,2708911.0,0.883,0.415,2566794.0,0.872,0.367,5257079.0,0.868,0.316,2664920.0,0.761,0.233,37958.0,19253.0,28405.0,35937.0,51446.0,68079.0
33,33,2011,967902.0,0.17,0.298,0.453,0.078,6399357.0,0.057,0.095,0.273,0.218,0.087,0.178,0.092,1246395.0,0.854,0.295,1319454.0,0.875,0.309,2557552.0,0.876,0.268,1275956.0,0.754,0.205,31048.0,17028.0,24849.0,30326.0,42842.0,57828.0
