state,median_h_income,poverty_rate,poverty_count,year
Ohio,56155,13.8,1568586,2018
Oklahoma,51914,15.5,593936,2018
Oregon,63168,12.5,516014,2018
Pennsylvania,60891,12.2,1517936,2018
Rhode Island,63787,12.8,130538,2018
South Carolina,52449,15.2,750582,2018
South Dakota,57041,12.9,109814,2018
Tennessee,52366,15.2,1003055,2018
Texas,60632,14.9,4181623,2018
Utah,71381,9.1,283562,2018
Vermont,60917,10.7,64431,2018
Virginia,72600,10.7,884898,2018
Washington,74023,10.3,761941,2018
West Virginia,44038,17.4,305656,2018
Wisconsin,60779,11.1,626748,2018
Wyoming,62259,10.7,60097,2018
Alabama,51771,15.6,747478,2019
Alaska,77203,10.2,73033,2019
Arizona,62027,13.5,963007,2019
Arkansas,49020,16.0,468575,2019
California,80423,11.8,4560419,2019
Colorado,77104,9.4,531331,2019
Connecticut,78920,9.9,343101,2019
Delaware,70348,11.2,106227,2019
District of Columbia,90395,14.1,94985,2019
Florida,59198,12.7,2681832,2019
Georgia,61950,13.5,1397607,2019
Hawaii,83734,9.0,124650,2019
Idaho,60830,11.0,193741,2019
Illinois,69212,11.4,1415838,2019
Indiana,57617,11.9,773367,2019
Iowa,61807,11.0,337156,2019
Kansas,62028,11.3,319931,2019
Kentucky,52256,16.0,692875,2019
Louisiana,51108,18.8,847739,2019
Maine,58824,10.9,141566,2019
Maryland,86644,9.1,537717,2019
Massachusetts,85700,9.5,631551,2019
Michigan,59522,12.9,1264445,2019
Minnesota,74529,8.9,491782,2019
Mississippi,45928,19.5,559764,2019
Missouri,57375,12.9,766238,2019
Montana,57248,12.6,130974,2019
Nebraska,63290,9.9,186402,2019
Nevada,63268,12.7,384900,2019
New Hampshire,78571,7.5,98310,2019
New Jersey,85786,9.1,795676,2019
New Mexico,52021,17.5,358526,2019
New York,72038,13.1,2471760,2019
North Carolina,57388,13.6,1383760,2019
North Dakota,67402,10.5,77327,2019
Ohio,58704,13.0,1474285,2019
Oklahoma,54447,15.1,578631,2019
Oregon,66955,11.5,474302,2019
Pennsylvania,63455,12.0,1481193,2019
Rhode Island,70383,11.6,118095,2019
South Carolina,56360,13.9,695259,2019
South Dakota,60414,11.9,101371,2019
Tennessee,56047,13.8,919850,2019
Texas,64044,13.6,3870944,2019
Utah,75705,8.8,279435,2019
Vermont,63293,10.1,60624,2019
Virginia,76471,9.9,822944,2019
Washington,78674,9.8,731216,2019
West Virginia,48659,16.2,281175,2019
Wisconsin,64177,10.4,591404,2019
Wyoming,66152,9.9,55776,2019
Alabama,53990,16.3,800848,2021
Alaska,78437,10.8,77736,2021
Arizona,68967,12.9,919680,2021
Arkansas,52577,16.0,471195,2021
California,84831,12.3,4742405,2021
Colorado,82228,9.7,554126,2021
Connecticut,83628,10.1,355861,2021
Delaware,71636,11.5,113026,2021
District of Columbia,91072,16.8,107307,2021
Florida,63054,13.2,2830813,2021
Georgia,66507,14.2,1493837,2021
Hawaii,85547,10.9,152656,2021
Idaho,66318,10.8,202091,2021
Illinois,72215,12.1,1493042,2021
Indiana,62723,12.1,799733,2021
Iowa,65645,11.0,340626,2021
Kansas,64128,11.6,332457,2021
Kentucky,55532,16.3,712023,2021
Louisiana,52090,19.5,878477,2021
Maine,64823,11.2,149571,2021
Maryland,90129,10.3,620829,2021
Massachusetts,89577,10.4,701700,2021
Michigan,63444,13.0,1283086,2021
Minnesota,77712,9.3,519437,2021
Mississippi,48871,19.2,549710,2021
Missouri,61815,12.8,765097,2021
Montana,63357,12.0,129910,2021
Nebraska,66949,10.5,201627,2021
Nevada,66194,14.0,433095,2021
New Hampshire,88268,7.4,99562,2021
New Jersey,89227,10.2,925852,2021
New Mexico,54304,17.7,367050,2021
New York,74230,14.0,2703053,2021
North Carolina,61997,13.5,1383626,2021
North Dakota,67603,10.9,82270,2021
Ohio,62286,13.3,1523366,2021
Oklahoma,55829,15.4,599003,2021
Oregon,71441,12.2,507504,2021
Pennsylvania,68931,12.0,1503929,2021
Rhode Island,73324,12.1,126971,2021
South Carolina,59447,14.5,736098,2021
South Dakota,66843,11.9,103337,2021
Tennessee,59698,13.7,934856,2021
Texas,66959,14.2,4122799,2021
Utah,79449,8.7,286086,2021
Vermont,72415,10.2,63208,2021
Virginia,80926,10.3,862792,2021
Washington,84155,9.9,755589,2021
West Virginia,51122,16.8,291051,2021
Wisconsin,67150,10.8,622948,2021
Wyoming,66508,10.6,60226,2021
Alabama,59703,16.2,798469,2022
Alaska,88072,10.8,77305,2022
Arizona,74355,12.5,904567,2022
Arkansas,55505,16.3,481650,2022
California,91517,12.2,4673718,2022
Colorado,89096,9.5,542333,2022
Connecticut,88182,9.8,345710,2022
Delaware,81933,10.0,99843,2022
District of Columbia,99897,14.2,91474,2022
Florida,69287,12.7,2770789,2022
Georgia,72742,12.9,1372488,2022
Hawaii,93683,10.0,140871,2022
Idaho,72634,10.5,198979,2022
Illinois,76744,11.9,1465724,2022
Indiana,66768,12.5,827927,2022
Iowa,69708,11.0,340272,2022
Kansas,68827,11.9,340106,2022
Kentucky,59246,16.3,716293,2022
Louisiana,55458,18.6,832505,2022
Maine,69485,10.9,146963,2022
Maryland,94957,9.8,589754,2022
Massachusetts,94538,10.4,700507,2022
Michigan,66926,13.3,1306663,2022
Minnesota,82343,9.6,538990,2022
Mississippi,52788,19.2,545773,2022
Missouri,64783,13.1,787164,2022
Montana,67915,11.8,130117,2022
Nebraska,69828,11.1,213320,2022
Nevada,72348,12.6,394516,2022
New Hampshire,90750,7.4,100965,2022
New Jersey,96341,9.7,879100,2022
New Mexico,59842,17.3,358749,2022
New York,79463,14.2,2720649,2022
North Carolina,67516,12.8,1335859,2022
North Dakota,73240,11.2,84207,2022
Ohio,65786,13.4,1537902,2022
Oklahoma,59632,15.6,608531,2022
Oregon,75638,12.0,500100,2022
Pennsylvania,71789,11.8,1483039,2022
Rhode Island,80873,11.2,117858,2022
South Carolina,64227,14.0,719381,2022
South Dakota,70597,12.4,108694,2022
Tennessee,65231,13.3,920748,2022
Texas,72279,14.0,4118852,2022
Utah,88531,8.3,276360,2022
Vermont,74555,10.2,63667,2022
Virginia,85838,10.6,893559,2022
Washington,91255,10.0,764405,2022
West Virginia,54097,17.4,299275,2022
Wisconsin,71050,10.8,621380,2022
Wyoming,71275,11.2,63555,2022
